,figi,ticker,name,sector,yarly_mean_profiit,risk
0,BBG000BN56Q9,DSKY,Детский Мир,consumer,-0.0296276162000542,0.1445975394716469
1,BBG000RMWQD4,ENPG,Эн+,materials,0.2254278728606356,0.2942168208703687
2,BBG004PYF2N3,POLY,Polymetal,materials,0.8386332882273341,0.2543550491127399
3,BBG000GQSVC2,NKNCP,Нижнекамскнефтехим (привилегированные),materials,0.0788157894736842,0.251868601912583
4,BBG000FWGSZ5,IRKT,Яковлев,industrials,1.7871184687015005,0.2513160685917371
5,BBG000PKWCQ7,MRKV,МРСК Волги,utilities,1.702868852459016,0.3044820495350981
6,BBG004S68CV8,VSMO,ВСМПО-АВИСМА,materials,-0.2698127761413844,0.2466184983191002
7,BBG000Q7ZZY2,UNAC,Объединенная авиастроительная корпорация,industrials,2.8140960163432074,0.2683866398947573
8,BBG004S68C39,LSRG,Группа ЛСР,real_estate,0.5028112449799196,0.3108627681158843
9,TCS00A106YF0,VKCO,ВК,it,0.2499999999999999,0.2954661670884887
10,BBG000RJL816,TTLK,Таттелеком,telecom,1.884171122994652,0.2645299096029245
11,BBG000BBV4M5,CNTL,Центральный Телеграф,telecom,1.075883575883576,0.2504216824042568
12,BBG004RVFCY3,MGNT,Магнит,consumer,0.1189637108296028,0.292938340744279
13,BBG004S68JR8,SVAV,СОЛЛЕРС,consumer,3.5985714285714283,0.321918004139521
14,BBG002GHV6L9,SPBE,СПБ Биржа,financial,0.2718600953895072,0.2804947396332103
15,BBG001M2SC01,ETLN,Etalon Group PLC ГДР,real_estate,0.5661016949152541,0.3423000652302971
16,BBG004S685M3,RTKMP,Ростелеком - Привилегированные акции,telecom,0.2420051858254104,0.3417862767247381
17,BBG011MCM288,GEMC,United medical group,health_care,1.217568670111504,0.3305432290793849
18,BBG0029SG1C1,KZOSP,ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированные,materials,0.6459102902374672,0.2562349991140576
19,BBG000LNHHJ9,KMAZ,КАМАЗ,industrials,1.7258757062146894,0.3592782034277242
20,BBG0029SFXB3,KZOS,ПАО «КАЗАНЬОРГСИНТЕЗ»,materials,0.4633596392333709,0.2835058082391241
21,BBG00ZHCX1X2,FIXP,Fix Price Group,consumer,-0.0016460905349794,0.2663921943867876
22,BBG004S689R0,PHOR,ФосАгро,materials,0.2621574528750198,0.2760944547312202
23,TCS2207L1061,HHRU,HeadHunter Group PLC,consumer,1.7768115942028986,0.3363659261425342
24,BBG000SK7JS5,LNZL,Лензолото,materials,0.4472041612483745,0.2543091648171375
25,BBG000PZ0833,MGTSP,МГТС - акции привилегированные,telecom,1.203804347826087,0.2823402717848285
26,BBG000F6YPH8,ELFV,ЭЛ5-Энерго,energy,0.6385191347753743,0.2670773721234099
27,BBG002458LF8,SELG,Селигдар,materials,0.8551236749116606,0.3233140525802347
28,BBG007N0Z367,AGRO,РусАгро,consumer,0.7069667225281303,0.27400915918321
29,BBG004S68829,TATNP,Татнефть - привилегированные акции,energy,0.7878648648648648,0.3315849761299878
30,BBG00R4Z2NT4,VEON-RX,VEON,telecom,0.8026607538802659,0.2917118723511789
31,BBG000VQWH86,BLNG,Белон,materials,2.4480000000000004,0.3196354281009165
32,TCS00A0JNXF9,PRFN,ЧЗПСН,materials,2.4845965770171152,0.3322328677685341
33,BBG004S68507,MAGN,Магнитогорский металлургический комбинат,materials,0.6898825800225189,0.3195292899251981
34,BBG004730ZJ9,VTBR,Банк ВТБ,financial,0.495992876224399,0.3241540237613834
35,BBG00F6NKQX3,SMLT,ГК Самолет,real_estate,0.5883743842364532,0.350915817261632
36,BBG004S68758,BANE,Башнефть,energy,1.433863636363636,0.3827073884941279
37,BBG004S683W7,AFLT,Аэрофлот,consumer,0.5049846625766872,0.3444804151344425
38,BBG012YQ6P43,CIAN,Циан АДР,it,0.6058796508957283,0.2878735804892225
39,BBG008F2T3T2,RUAL,РУСАЛ,materials,0.0733932461873638,0.1992766069448398
40,BBG00BGKYH17,NKHP,НКХП,industrials,2.9688372093023254,0.3044981686769498
41,BBG004730N88,SBER,Сбер Банк,financial,1.319401810310901,0.3440119942029931
42,BBG00Y3XYV94,MDMG,Мать и дитя,health_care,0.7672001970338983,0.3048996120334052
43,BBG00HY6V6H5,GTRK,ГТМ,industrials,18.923954372623573,0.3217458354952525
44,BBG004S68CP5,MVID,М.видео,consumer,0.0882687927107061,0.2270447696287322
45,BBG004S686N0,BANEP,Башнефть - привилегированные акции,energy,1.5723133235724742,0.3397054466321482
46,BBG00172J7S9,OKEY,O'Key Group SA,consumer,0.2655703289013297,0.3021195599539762
47,BBG004S68B31,ALRS,АЛРОСА,materials,0.120042225908611,0.2502709474392409
48,BBG000VG1034,MRKP,Россети Центр и Приволжье,utilities,0.9814285714285712,0.3168170995448187
